Date,Open,High,Low,Close,Adj Close,Volume
5/3/2019,8092.879883,8164.709961,8084.799805,8164,8164,2046040000
5/6/2019,7981.850098,8135.540039,7981.850098,8123.290039,8123.290039,1966120000
5/7/2019,8043.52002,8070.970215,7899.02002,7963.759766,7963.759766,2376660000
5/8/2019,7946.240234,8004.490234,7923.350098,7943.319824,7943.319824,2175100000
5/9/2019,7853.209961,7929.779785,7796.160156,7910.589844,7910.589844,2520770000
5/10/2019,7881.310059,7949.339844,7759.339844,7916.939941,7916.939941,2387720000
5/13/2019,7720.069824,7760.830078,7627.220215,7647.02002,7647.02002,2478860000
5/14/2019,7689.660156,7776.200195,7665.299805,7734.490234,7734.490234,2084850000
5/15/2019,7682.799805,7838.720215,7682.240234,7822.149902,7822.149902,2001530000
5/16/2019,7832.580078,7946.22998,7826.669922,7898.049805,7898.049805,2163120000
5/17/2019,7829.029785,7918.709961,7810.350098,7816.279785,7816.279785,2134120000
5/20/2019,7714.060059,7747.27002,7678.350098,7702.379883,7702.379883,2122410000
5/21/2019,7765.569824,7804.439941,7752.919922,7785.720215,7785.720215,1993210000
5/22/2019,7749.799805,7786.330078,7738.350098,7750.839844,7750.839844,1881830000
5/23/2019,7660.720215,7665.149902,7585.319824,7628.279785,7628.279785,2243420000
5/24/2019,7675.569824,7694.149902,7631.25,7637.009766,7637.009766,1682920000
5/28/2019,7655.660156,7693.740234,7603.759766,7607.350098,7607.350098,2352670000
5/29/2019,7553.02002,7581.109863,7503.939941,7547.310059,7547.310059,2278790000
5/30/2019,7565.459961,7595.899902,7527.660156,7567.720215,7567.720215,1872000000
5/31/2019,7470.950195,7506.859863,7448.22998,7453.149902,7453.149902,2236940000
6/3/2019,7441.209961,7457.660156,7292.220215,7333.02002,7333.02002,2576920000
6/4/2019,7413.939941,7529.5,7385.02002,7527.120117,7527.120117,2369150000
6/5/2019,7585.680176,7589.470215,7498.169922,7575.47998,7575.47998,2115570000
6/6/2019,7582.240234,7634.120117,7546.220215,7615.549805,7615.549805,2070940000
6/7/2019,7652.970215,7767.02002,7647.910156,7742.100098,7742.100098,2066020000
6/10/2019,7798.870117,7895.439941,7795.759766,7823.169922,7823.169922,2049370000
6/11/2019,7901.040039,7909.990234,7798.629883,7822.569824,7822.569824,2114680000
6/12/2019,7803.129883,7819.160156,7773.970215,7792.720215,7792.720215,1952790000
